,ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
6860,2036-10-13,30,57864,500,0,0,9,20814,36,2,3,2,341,0.1101941840453516,5,0,0.3164832849215012,0,0,1,28,9,15163,2920,18083,28384,4822.0,0.9441845045275262,7,8051,0.255814,0.2157224479499312,790.2975451182658,0.2346116850100095,0,60.0
15469,2060-05-09,29,15000,564,0,1,6,37657,84,2,3,2,371,0.5123245291059136,4,0,0.0879418703826409,0,3,0,27,26,10101,730,13244,7576,1250.0,0.9065160362658264,7,5668,0.280657,0.2938729201114257,1061.254344260094,1.1458034754080753,0,53.0
3692,2028-02-10,54,34682,549,0,3,30,37252,48,1,2,3,465,0.3702238073757199,0,1,0.0587220929203947,0,3,0,22,24,3526,1207,98563,28142,2890.1666666666665,0.3764838341946159,5,70421,0.257752,0.2350087563899361,1204.2274023092002,0.5775540288250506,0,49.0
1347,2021-09-09,51,108674,622,1,4,28,18158,48,1,1,3,317,0.0834971451736478,1,0,0.3481829993303132,0,2,0,13,29,1397,126,60941,14838,9056.166666666666,0.9511669035395588,6,46103,0.202158,0.2095638263207373,561.849185718962,0.0970442813242132,1,41.6
16629,2063-07-13,40,72386,625,0,1,21,25120,48,1,1,0,489,0.1972272297222579,5,0,0.186952501189585,0,3,1,31,13,4512,3778,13452,87332,6032.166666666667,0.7722310015706664,5,8899,0.20762,0.2030198460563802,768.4582282765731,0.2084588005873909,0,52.0
8743,2041-12-09,50,72320,579,0,4,27,18011,108,1,0,1,413,0.0999519998821629,2,0,0.3722515468813872,0,0,0,19,19,515,746,25003,15312,6026.666666666667,0.7001255300247368,3,9691,0.273511,0.2554247082502327,427.3106658752397,0.1394320795146968,0,53.0
2936,2026-01-15,32,54324,574,0,2,12,37298,48,1,1,0,541,0.1878418536411016,1,2,0.3686362990465119,0,2,0,27,22,4482,3781,20723,34235,4527.0,0.7038663205973266,4,9862,0.245298,0.244149150752941,1224.5544723185071,0.3900054058578545,0,53.0
1366,2021-09-28,39,34539,555,0,1,16,24581,48,1,1,1,479,0.1155909603981842,1,1,0.2273677024844092,0,1,0,21,16,1304,751,27816,16126,2878.25,0.9178977234191096,6,11690,0.242081,0.2223084399766389,777.5347694306054,0.4365620670305238,0,52.0
5252,2032-05-19,34,63872,602,0,3,13,19133,60,1,2,0,168,0.4549476422338074,4,0,0.2726170712382302,0,3,0,19,24,3257,1691,18169,42803,5322.666666666667,0.7984508759701092,5,2813,0.223133,0.2321008593705644,541.6801892592002,0.1333316988838677,0,50.0
16532,2063-04-07,38,28726,628,0,1,18,59524,48,2,0,3,401,0.277683863570584,4,2,0.0740865789489059,0,3,0,33,15,1593,761,54283,15066,2393.833333333333,0.792187910814948,1,39217,0.240524,0.1924192,1787.3822828354246,0.914174872729412,0,49.0
7690,2039-01-21,44,86195,626,0,1,21,18395,108,1,3,0,592,0.2713310957188193,2,0,0.2273320962558206,0,2,0,30,27,5112,622,35281,26883,7182.916666666667,0.7949029223119356,8,8398,0.250395,0.240521026946489,417.6797704875514,0.1405668222733408,1,38.400000000000006
7514,2038-07-29,25,15000,556,0,2,2,35625,72,0,0,0,559,0.2870533453737838,4,1,0.2474982794047611,0,2,0,19,16,1700,898,33438,78792,1250.0,0.9012845642211412,5,10284,0.272625,0.260306391695577,982.2893379954864,1.2330314703963892,0,54.0
15980,2061-10-02,18,104346,501,0,0,0,14110,72,1,1,0,581,0.029526251139743,2,0,0.4676277830770163,0,3,0,16,11,19115,1207,223806,34547,8695.5,0.97752202835171,8,189259,0.27861,0.2556726500361745,385.0097813554552,0.1110930689845845,1,40.0
590,2019-08-14,40,170970,590,0,1,20,17011,120,1,0,1,948,0.2286742182597179,4,1,0.244675366504579,0,1,0,26,17,3617,839,152925,19627,14247.5,0.9813308233081536,5,133298,0.277011,0.3136619290836561,465.6984738405384,0.0992243182200764,1,36.8
6304,2035-04-06,18,44389,518,0,4,0,37313,48,1,0,3,294,0.3972648734702023,6,2,0.053220870203806,0,4,0,24,10,4016,1688,49431,6813,3699.0833333333335,0.9113133585622326,9,42618,0.273313,0.3115887260921599,1368.7574679360043,0.449505274172251,0,51.0
18515,2068-09-10,51,81244,531,0,3,30,16057,48,1,0,3,287,0.442860941084175,2,1,0.0435447647740123,0,3,0,27,1,781,125,29694,3014,6770.333333333333,0.6744817024956424,8,26680,0.245557,0.2366142692309902,520.4867420829615,0.1192683878808963,0,54.0
3127,2026-07-25,55,112501,648,0,4,35,58625,36,0,1,0,866,0.2042276915213883,2,1,0.2587906071011847,0,2,0,20,18,1579,1436,9714,65514,9375.083333333334,0.9413264728009736,3,1421,0.219625,0.2256106948354302,2255.967502400268,0.3330069068613008,0,48.0
6540,2035-11-28,43,46161,654,1,2,21,47939,24,2,0,0,633,0.2798327382037291,4,3,0.14128261635045,0,1,0,27,26,956,1562,54709,35805,3846.75,0.8436052409547772,6,18904,0.195939,0.2306731153716784,2512.326246030129,0.817658086964354,0,48.0
9528,2044-02-02,42,59233,605,0,1,19,15451,48,2,0,0,491,0.0734765022804592,4,1,0.1804523393802187,0,2,0,26,4,2778,1469,90284,35561,4936.083333333333,0.915333899096056,3,54723,0.207951,0.1663608,442.9354727251002,0.1892057750358955,1,37.6
15099,2059-05-05,24,87774,562,0,1,2,30051,24,1,0,3,446,0.0895168312759921,4,1,0.227953854408665,0,1,0,22,24,7081,796,41432,36271,7314.5,0.7754884571548681,6,5161,0.2240509999999999,0.1986166533383282,1527.439714773198,0.2697983067568799,0,50.0
18221,2067-11-21,50,95651,646,0,1,28,39329,60,1,0,0,370,0.150716749343032,4,0,0.3066781171446805,0,0,0,27,23,976,793,237613,12499,7970.916666666667,0.9234062386914924,2,225114,0.221329,0.2507006206869346,1155.974189871221,0.1914427478902954,0,45.0
13235,2054-03-28,50,64976,534,0,3,28,10441,60,1,4,3,280,0.0955895397009888,2,0,0.1454383128429655,0,3,0,19,23,3141,318,7414,49966,5414.666666666667,0.7749174820440503,3,7291,0.248441,0.2431000882731464,302.24803326502666,0.1075316485961019,1,39.2
16113,2062-02-12,38,50297,608,0,1,14,20574,96,0,4,3,234,0.2651432967240709,1,0,0.3111620704916997,0,2,0,26,14,9266,89,9355,28264,4191.416666666667,0.9315147343852158,4,10308,0.251574,0.2525311902338247,500.78734525416127,0.1753076355060925,0,51.0
3595,2027-11-05,53,94722,525,0,4,29,10695,60,2,5,0,470,0.2741565642979856,2,1,0.1036624655134999,0,3,0,28,22,6643,1338,90414,9870,7893.5,0.6686744443653045,5,80544,0.253195,0.2845914303887333,335.9663015870786,0.1021050613273045,1,37.6
13510,2054-12-28,37,60698,557,0,1,15,26669,36,1,3,2,174,0.4927237216113484,3,1,0.0380753285158667,0,3,0,22,6,1786,6303,226662,8120,5058.166666666667,0.8785353823732055,3,218542,0.233169,0.2388721613707829,1044.7223182580256,0.2409415107432914,0,49.0
789,2020-02-29,20,64133,555,1,4,0,30437,60,2,0,2,397,0.5712364290495583,3,0,0.1149946010016525,0,1,0,25,26,4167,849,109420,8763,5344.416666666667,0.6692195515014634,3,100657,0.2579369999999999,0.2404886846706941,876.4741385254202,0.2382812228073696,0,50.0
7689,2039-01-20,37,93994,533,0,1,17,20328,72,2,1,3,423,0.2634412212176558,3,0,0.2011968977166195,0,1,0,21,1,6610,412,97231,5096,7832.833333333333,0.918528974378406,2,92135,0.268828,0.2578270593533921,557.3824977531285,0.1251632016196517,0,53.0
5824,2033-12-12,32,38796,503,0,3,10,24141,120,0,3,2,905,0.2350603463648738,5,0,0.3902426224998944,0,0,0,27,14,3801,1603,12591,27722,3233.0,0.7902527013026516,5,8496,0.3276409999999999,0.3597740957089619,745.2940988075967,0.5104528607508805,0,55.0
10249,2046-01-23,40,125397,539,0,4,21,16848,36,2,0,3,719,0.2032221077412192,2,1,0.3185484875364114,0,2,0,21,12,3448,167,43406,9677,10449.75,0.6314007093435502,5,33729,0.232348,0.2569162282959025,676.0517667415127,0.1335009705247984,1,41.6
16007,2061-10-29,49,36612,512,0,1,23,24926,36,2,3,2,673,0.3951127942837436,4,1,0.6607217322908971,0,3,0,19,9,2602,103,54599,30079,3051.0,0.7613645375985758,3,24520,0.253926,0.2707783880939292,1018.6504950600702,0.5544577171616094,0,60.0
6982,2037-02-12,36,76608,544,1,3,14,40491,24,1,0,3,573,0.3867259948877367,0,3,0.4671464974034008,0,2,0,23,23,2969,592,26754,13433,6384.0,0.9315046519859744,6,13321,0.2434909999999999,0.2559099801798942,2173.091367976197,0.4301521566378755,0,59.0
10968,2048-01-12,47,55526,586,0,3,26,21665,48,2,1,3,681,0.0656118491522533,0,1,0.2690930465969241,0,3,0,18,23,4558,2319,79866,36909,4627.166666666667,0.941142649364436,9,42957,0.223665,0.212278285581917,673.529466490438,0.2927340993027637,0,51.0
4979,2031-08-20,18,22191,556,0,3,0,21199,36,0,1,2,163,0.1683913226737329,2,1,0.22216702767239,0,1,1,19,25,9823,895,16652,32252,1849.25,0.8465698705754565,5,9526,0.2281989999999999,0.2347083841591868,825.8187424027557,0.534713393214955,0,59.0
9908,2045-02-16,52,15971,589,0,1,28,34746,36,1,2,3,236,0.4335831039833748,3,1,0.1100862570449992,0,4,0,28,4,22120,5371,27491,16398,1330.9166666666667,0.7630429779458209,5,11093,0.225246,0.2394191794935845,1362.125296897333,1.200770368966752,0,56.0
8556,2041-06-05,35,47053,594,1,3,15,54463,60,1,3,3,751,0.2002904486226717,1,0,0.2990890414002998,0,4,0,25,28,3967,1306,7915,17502,3921.0833333333335,0.8313457650042085,8,9589,0.262463,0.2626781424664728,1639.2940303279588,0.6096004157850828,0,56.0
6561,2035-12-19,56,52413,470,0,3,32,17627,48,1,1,0,149,0.2240613972475523,6,1,0.2823528221022646,0,3,0,25,3,677,753,354814,2562,4367.75,0.9139184108318742,4,352252,0.277627,0.2267130313360677,561.8016093939924,0.1627386204324863,1,39.2
16059,2061-12-20,28,46107,521,0,3,6,34854,72,1,4,3,180,0.0808586482643269,3,0,0.445425054629637,0,4,0,21,26,3777,1607,20936,18686,3842.25,0.8764517427142918,5,2250,0.289354,0.2765964745977465,996.5400907489686,0.3062112279911428,0,56.0
3034,2026-04-23,40,20657,573,0,1,20,12835,12,0,0,2,656,0.1647122083297618,0,0,0.0546038849333706,0,0,0,20,14,2602,166,21873,59011,1721.4166666666667,0.843395013269866,1,8318,0.191335,0.2021968293310531,1190.313768074416,1.0725548345303282,0,51.0
5080,2031-11-29,28,64034,432,0,1,7,12191,12,1,3,3,467,0.3300819899218088,5,2,0.5201800989020872,0,1,0,29,24,14393,479,193556,12034,5336.166666666667,0.9317272125527452,3,181522,0.261191,0.2256651333123243,1144.3355491276764,0.3019649965570183,1,43.2
11688,2050-01-01,36,31729,446,0,1,16,20120,48,1,1,0,335,0.645747996653085,3,1,0.3010692793015913,0,3,1,18,17,3279,1103,117036,11525,2644.083333333333,0.6854276521767203,6,105511,0.29212,0.2835317519528732,705.2971485348685,0.393443404532712,0,59.0
6570,2035-12-28,38,49154,585,1,1,14,16450,24,2,4,0,597,0.0809202039933884,4,1,0.0797794039283247,0,3,0,28,1,1674,849,71249,6120,4096.166666666667,0.8817503391377881,7,65129,0.19895,0.1697995133808231,813.1667849780638,0.3442649920603972,0,55.0
1064,2020-11-30,35,122613,545,0,3,12,22256,96,1,2,2,918,0.1630432667503248,6,1,0.2852393682370271,0,0,0,25,16,4469,2194,149213,17694,10217.75,0.6567987319935522,10,131519,0.284756,0.3115231946329736,631.7220034161649,0.151669594912399,0,45.0
1250,2021-06-04,43,95093,599,0,3,19,17414,72,1,0,3,720,0.2830429368326371,3,0,0.1416240845008433,0,3,0,21,7,3946,757,105968,37550,7924.416666666667,0.8910070233688462,5,68418,0.232914,0.2009948588813436,418.11934221330495,0.1436218449997335,1,38.400000000000006
5333,2032-08-08,54,85763,623,0,1,29,20095,48,1,0,1,589,0.7449198240172112,2,1,0.1833053465330649,0,3,0,19,25,1321,1137,68105,16292,7146.916666666667,0.7574441279656008,7,51813,0.203595,0.2108979274611115,623.2265636166527,0.1696153208656393,1,36.8
19774,2072-02-21,51,40879,625,0,3,28,33965,60,1,3,2,266,0.1152771253802569,5,1,0.2026920421650428,0,2,0,31,25,2422,3785,9802,20986,3406.583333333333,0.8234031151049326,6,10744,0.226465,0.2241789229851187,946.1642143786968,0.3558299022124896,0,49.0
4729,2030-12-13,40,105979,624,0,4,15,30488,48,1,3,2,470,0.2770604352112882,2,1,0.208156427982024,0,4,0,31,9,979,420,106468,38526,8831.583333333334,0.5839053076846789,2,67942,0.213488,0.2171724749443449,955.8833550379128,0.1614527430949051,1,37.6
11303,2048-12-12,18,133224,585,0,4,0,19512,60,1,3,1,985,0.6287402541546209,2,2,0.4213940546841659,0,1,0,16,13,17818,710,177315,76526,11102.0,0.855573145695071,3,100789,0.232012,0.2722149456143424,598.3910963500778,0.1426221488335505,1,41.6
11739,2050-02-21,41,108341,595,0,3,17,36397,24,1,2,0,255,0.3188669497136038,4,0,0.2784209583485402,0,4,0,24,9,3388,2163,232066,67131,9028.416666666666,0.8126877468387478,8,164935,0.2138969999999999,0.2147878800129728,1878.8540851632288,0.2363486493752019,1,38.400000000000006
17551,2066-01-20,27,33361,591,0,3,3,18148,36,1,0,1,638,0.5059551188344887,3,1,0.0659271771208585,0,1,0,21,4,10447,1888,62159,16242,2780.083333333333,0.5310670150779438,3,45917,0.207648,0.2215638497902082,694.5494278593441,0.4793199584638389,0,55.0
10908,2047-11-13,33,72716,600,0,1,12,38089,36,1,0,2,315,0.0332285621395012,3,3,0.2939354721869853,0,1,0,27,27,2862,1396,130319,23301,6059.666666666667,0.620044796506643,4,107018,0.223089,0.2252567310399455,1465.0147619918484,0.2937479666634878,0,44.0
14009,2056-05-10,62,34179,651,0,0,42,25817,48,1,2,0,210,0.6312856512534887,0,1,0.0806779988585354,0,1,1,21,27,4614,1227,212687,22873,2848.25,0.7678442884059415,3,189814,0.195317,0.2035967002469304,790.5764729389384,0.3512951717507025,0,49.0
8805,2042-02-09,18,26683,541,0,3,0,26779,48,1,1,2,479,0.2900648926320895,3,1,0.3290607712504192,0,1,0,22,7,3291,1162,30612,118502,2223.583333333333,0.7745785964110065,4,4095,0.251279,0.2503538652640726,888.4433443857002,0.614972834112671,0,57.0
7192,2037-09-10,39,19166,568,0,2,19,33270,48,0,0,2,444,0.2600624297750383,2,1,0.3987928590719606,0,4,0,37,29,2571,873,197353,4673,1597.1666666666667,0.9184278648590084,3,192680,0.24427,0.2408929818726688,1086.306168895615,0.9581380583714588,0,52.0
1656,2022-07-15,42,15000,563,0,3,20,18599,60,0,3,2,267,0.1317055870152997,3,0,0.207876921590647,0,0,0,27,2,4389,565,41144,137095,1250.0,0.8623077517203489,5,4835,0.242099,0.232018641152431,526.4739087746566,0.6347791270197253,0,57.0
15972,2061-09-24,43,86169,587,0,0,21,29833,36,2,0,0,653,0.1283431611439231,4,1,0.1183715686981347,0,4,0,31,8,1121,5676,128893,33338,7180.75,0.913817607396794,2,95555,0.221333,0.18642675826204,1088.1768619602997,0.2424784126950945,1,37.6
13007,2053-08-12,35,32540,494,0,0,12,13840,60,0,2,2,481,0.2810700268252195,2,0,0.3511139936196319,0,3,0,23,5,816,2283,49179,15951,2711.6666666666665,0.7304096809755405,5,33228,0.2718399999999999,0.288391815073082,437.95343739274375,0.3388887906795613,0,57.0
7155,2037-08-04,18,24971,541,0,4,0,28199,60,1,0,3,305,0.2128846659266765,4,1,0.3706172897581736,0,0,0,26,7,1541,2364,6000,2428,2080.9166666666665,0.8479464732262518,9,3572,0.262699,0.2443511021682121,818.3652795535578,0.5398415503841534,0,57.0
5181,2032-03-09,34,75914,543,0,1,10,18127,24,1,3,2,352,0.6060098618915285,5,0,0.4558632466290336,0,3,0,26,10,533,2476,38372,36774,6326.166666666667,0.9207191843208156,4,1598,0.221627,0.2107127113945369,932.1023847801116,0.2029826990721255,1,46.400000000000006
7708,2039-02-08,31,25970,566,0,0,7,15213,36,1,3,0,703,0.0865422298129628,2,1,0.1268923352586482,0,1,0,25,10,1753,1780,132712,13403,2164.1666666666665,0.9155716467382888,6,119309,0.217213,0.1961424890784021,562.3839113768423,0.5846979952453641,0,47.0
1821,2022-12-27,40,41591,615,0,1,19,20339,36,1,2,3,210,0.1450817007904161,3,1,0.5022615648845739,0,1,0,27,15,6497,358,291156,32904,3465.9166666666665,0.805180041620091,4,258252,0.197839,0.1961520569334357,751.8883040296101,0.2775278220854348,1,39.2
9289,2043-06-08,50,73014,631,0,4,28,17593,60,0,2,1,414,0.2536478003830012,3,0,0.2369032922074843,0,1,0,22,5,3278,1015,12303,4411,6084.5,0.4934401434587088,6,7892,0.207093,0.1658691458871764,433.3332323255309,0.139260947049968,1,40.8
11161,2048-07-23,28,58329,565,0,1,6,16947,72,2,2,2,270,0.4510124873453419,1,2,0.1399348856368373,0,2,0,27,9,4938,1404,129843,17514,4860.75,0.7711021009310726,4,112329,0.2494469999999999,0.2861370108693241,494.78778418740274,0.1573394608213553,0,48.0
13986,2056-04-17,41,42082,558,0,3,18,46129,60,1,2,3,502,0.297495087953677,5,0,0.3468313459509858,0,4,0,28,21,8091,3451,208327,23622,3506.833333333333,0.9529224138113508,4,184705,0.272129,0.317847114331201,1543.3908712104694,0.5832586486983896,0,51.0
2439,2024-09-05,20,65439,564,0,1,0,9010,12,2,3,2,476,0.6579634096386306,4,0,0.1133324707817872,0,3,0,27,11,1442,481,173338,6143,5453.25,0.678999007050812,2,167195,0.19201,0.1967475303532327,833.2350170053722,0.2400834396012235,1,38.400000000000006
9681,2044-07-04,23,60343,559,0,3,0,22390,24,1,1,0,372,0.3280348775669676,5,0,0.5285138318029168,0,3,0,27,8,6186,775,16605,70590,5028.583333333333,0.8913604316799714,5,3885,0.2178899999999999,0.2161907762772404,1157.3443921777452,0.3041302670754345,0,59.0
13974,2056-04-05,43,49068,579,0,1,24,16327,96,0,5,2,575,0.3710448361445352,3,0,0.4500770445263712,0,2,0,23,29,10509,354,44794,27237,4089.0,0.8398362107730212,3,17557,0.261827,0.2341790912663458,377.6876369200302,0.232987927835664,1,45.6
787,2020-02-27,45,48423,566,0,2,24,30357,96,1,0,3,523,0.4299404773788917,2,1,0.4851448200605736,0,0,0,22,14,628,407,65613,7997,4035.25,0.7081343053775658,7,57616,0.2823569999999999,0.3321044472520651,906.056201832091,0.3541431638267991,0,56.0
14389,2057-05-25,32,60454,599,0,0,8,13153,60,2,0,2,294,0.2716931448122135,1,0,0.3483826629428621,0,1,0,23,3,5146,1087,131696,82340,5037.833333333333,0.9354702326922666,3,49356,0.218653,0.188650648631307,340.22024805180365,0.1258914708145307,1,45.6
3407,2027-05-01,41,62355,520,0,3,18,39234,36,2,1,3,414,0.1435054597411539,2,1,0.3992107431684591,0,4,0,18,13,4714,1740,19599,6771,5196.25,0.8287199576101127,7,12828,0.2642339999999999,0.2619411011955246,1584.8218927509286,0.3846662290595965,0,53.0
5899,2034-02-25,53,90354,651,0,4,26,26150,72,2,1,0,680,0.3023002662646873,2,2,0.108878514881482,0,3,0,33,10,994,1265,15559,6710,7529.5,0.672354686612047,5,8849,0.21565,0.1934850373420529,616.5303960274967,0.1721934253306988,1,34.4
16389,2062-11-15,31,27923,561,0,4,9,24606,72,1,2,2,487,0.4387862352218808,7,2,0.2866446931372108,0,3,1,22,10,3696,371,30851,7462,2326.9166666666665,0.967977223342712,5,23389,0.2591059999999999,0.2649020355231818,685.4926263548033,0.50388251678751,0,61.0
10058,2045-07-16,45,59599,596,0,0,24,15075,96,1,1,0,168,0.635277334142884,1,2,0.1846221823862418,0,3,0,26,3,184,2205,43943,24427,4966.583333333333,0.7462164608295566,3,19516,0.252075,0.250490605535805,364.8936129543387,0.107295816296449,0,55.0
12478,2052-03-01,46,39703,418,0,3,23,8305,84,1,2,1,652,0.6286786474501489,3,1,0.6240255312513099,0,3,0,25,28,9112,546,114383,3629,3308.583333333333,0.7459901272283278,2,110754,0.324305,0.337918873884227,258.9985436071034,0.2753439922243971,0,57.0
10161,2045-10-27,37,27579,479,0,3,13,12055,72,0,0,2,255,0.2088057276502013,6,0,0.2676831500571039,0,3,0,22,15,1451,8499,74689,31505,2298.25,0.6599063990292509,9,43184,0.287555,0.256568891764548,329.6036701518117,0.254369050430463,0,54.0
15198,2059-08-12,60,31507,576,0,3,36,17224,60,1,3,0,165,0.2897539165567722,6,2,0.1396451368007331,0,1,0,19,11,20759,981,108360,1987,2625.583333333333,0.8900807392310485,6,106373,0.234224,0.2166859420241301,472.4683716311905,0.2427911403679907,0,47.0
18052,2067-06-05,56,48662,636,0,1,32,27638,84,1,0,0,378,0.0991183311822059,1,0,0.5447759705476672,0,0,0,19,29,1805,1239,35534,31545,4055.1666666666665,0.9155886352291404,6,3989,0.234638,0.2305370141058136,665.5441828812045,0.2573369404170493,0,55.0
6108,2034-09-22,46,22619,565,1,3,25,16007,36,1,3,2,376,0.1467098545693348,3,1,0.5009161806964824,0,1,0,29,21,3793,2035,42242,5413,1884.9166666666667,0.9486508192372748,3,36829,0.2185069999999999,0.2603186148856633,645.2036736963503,0.541776563259039,0,62.0
11455,2049-05-13,47,45371,575,0,3,22,30983,60,1,3,3,436,0.2555275521461893,4,2,0.3595442653327215,0,3,0,27,19,2470,492,114913,30396,3780.9166666666665,0.7577935551934285,3,84517,0.248483,0.2425300574976868,895.8736784584048,0.3522621088691203,0,53.0
17955,2067-02-28,44,69616,626,0,0,24,29213,48,0,0,3,970,0.2349389893906236,3,3,0.0463881677698124,0,2,0,27,17,1644,1499,69056,8010,5801.333333333333,0.7094582880429454,7,61046,0.211213,0.2534556,974.2580275008852,0.3351398576478198,0,45.0
6953,2037-01-14,31,54540,508,0,1,12,33887,36,1,3,3,371,0.4904380678391796,5,2,0.1013162997624125,0,3,0,31,17,4647,574,20689,8221,4545.0,0.8537477931937659,9,12468,0.264887,0.2791846416349207,1400.1955936736588,0.3897020008082857,0,51.0
2557,2025-01-01,40,40433,613,0,0,17,18418,84,1,0,0,221,0.3626104266952281,1,2,0.4836513815217785,0,3,0,27,7,674,553,304629,39369,3369.4166666666665,0.816410815284035,7,265260,0.236918,0.2364390795325079,450.3409315459443,0.1992454474946536,0,49.0
